selected_id,text,true_label,pred_label,true_label_name,pred_label_name,correct
1,bitch i want those shoes so bad they are so nice ,0,2,Normal,Hate,False
2,"@user That's not a ""humanitarian"" ship. That's $oros. THEY MUST GO BACK.#STOPTHEINVASION ",0,2,Normal,Hate,False
3,im tryna go ghost n come back a whole new bitch like BAM ,0,2,Normal,Hate,False
4,"@user They go back for holidays, they get sent back there to Schools.So #SendThemBack. ",0,2,Normal,Hate,False
5,"Amen!Finally, we have a @user puts #AmericansFirst & our #VeteransFirst, not a few really rich kneelers!#BuildThatWall @user @user @user @user @user @user @user #BoycottNike #Trump2020 #TrumpTrain #TrumpArmy #Trumpville #AmericaFirst ",0,2,Normal,Hate,False
6,"@user @user Parts are already being built and Oct 1 is coming, budgets will be made and #BuildthatWall will move at a LOT faster pace. :) #MAGA ",0,2,Normal,Hate,False
7,"Also I've heard vegans make some wild af false equivalencies lol. Like ""dairy is rape"". Bitch no rape is rape, dairy is delicious. ",0,2,Normal,Hate,False
8,@user @user Lmao! Bitch SHUT UP! I'll fucking finesse your jaw hoe! ,0,2,Normal,Hate,False
9,@user @user @user @user Followed #NoAmnesty #EndDACA #DefundSanctuaryCities ,0,2,Normal,Hate,False
10,"@user Bolton is a Mainstream Republican RHINO Chicken Hawk that Trump has to swallow. I was really hoping he would make a huge difference in the Middle East, but it seems the powers that be won't cede that ground.For now, we need him to #BuildThatWall. Hopefully M.E. policy changes. ",0,2,Normal,Hate,False
11,I laughed way too hard at this. #wall #POTUS #BuildThatWall ,0,2,Normal,Hate,False
12,@user @user . And until Trump made it an issue also the aim of most Politicians - cheap labor & votes for the elites. Most still refuse to support reform. #StopImmigration ,0,2,Normal,Hate,False
13,@user I think you mean a rapefugee. Calling that sort of person immigrant makes us legal immigrants look bad. ,0,2,Normal,Hate,False
14,"@user @user This will be great. Hope @user puts someone in charge who makes sure All $$$ goes toward construction costs. And he/she better get it going after day, Every million donated. #BuildThatWall ",0,2,Normal,Hate,False
15,@user @user Bitch you stole this from Tron ,0,2,Normal,Hate,False
16,@user WE CAN NOT forget to vote.Plenty of Americans SACRIFICE in #Military #ICE #Police WE can take a couple hours out of our busy days on Nov 6 to VOTE. PLEASE ALL - help save our country!!#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst ,0,2,Normal,Hate,False
17,Theyre called #AnchorBabies Thank you @user #BuildTheWall #SendThemBack ,0,2,Normal,Hate,False
18,#FactCheck changing the words doesNot Change TheTruth #Schiffy #GitmoCallingObamaAndCompany #DemocratsHateAmerica #BuildTheWall #DeportThemAll #StopTheInvasion #EndSanctuaryCities #RedWaveRising2018 #VerbalJudo will no longer work against #TheAmericanPeople #WalkAwayFromDemocrats ,0,2,Normal,Hate,False
19,Whoever did this to me you a bitch and wish nothing but the worst to you. ,0,2,Normal,Hate,False
20,@user Bitch stfu. Whoever is telling you that or making you feel that way can kick rocks. And you can tell them I said so. ,0,2,Normal,Hate,False
21,"@user @user is right, #DoWhatWeSaid! #BuildThatWall ",0,2,Normal,Hate,False
22,"Democratic PATRIOTS pls call your representatives and demand #Kavanaugh be confirmed, esp if up for re-election. .@PressSec .@realDonaldTrump .@GenFlynn #SaturdayMotivation #USOpen2018 .@reba .@katyperry .@johnrich #MAGA #BuildThatWall #RedNationRising #WalkAway ",0,2,Normal,Hate,False
23,@user its so nice of you to be promoting #trumptapes with POS @user I thought Twitter wasnt bias. #maga #maga2018 #buildthatwall stop ,0,2,Normal,Hate,False
24,Lana i love you bitch. Put that flag back up hoe 🇺🇸 #lustfoflife ,0,2,Normal,Hate,False
25,@user Let's see how you are going to babble after the Supreme Court ruling!#DeportThemAll #NoDACA #SupportICE #AbolishDemocRATS ,0,2,Normal,Hate,False
26,So about the #IRS with lame whats your dumb excuse there #Oathbreaker @user #Nodaca #Deportthemall #coward keep your stupid whistles #Hypocrites ,0,2,Normal,Hate,False
27,walk a mile in my shoes bitch i cant even walk a mile in my own ,0,2,Normal,Hate,False
28,@user You are a Friggin idiot and ANTI-AMERICAN #BuildTheWall #NoAmnesty #NODACA #DrainTheDeepState #VOTEDEMOUT2018 #MAGA #WalkAway #TRUMP2020 #TheStorm #LiberalismIsAMentalDisease ,0,2,Normal,Hate,False
29,"@user Don't trust polls; see 2016It must be antifa & Maxine Water's steady hand pushing Dems ahead.Maybe #POTUS stunning success w/ISIS, economy, Dow/S&P/Nasdaq, N Korea, unemployment help Dems?#MAGA #KAG #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA ",0,2,Normal,Hate,False
30,@user Part 1 #Sudanese get home loans with deal done with #BendigoBank putting Sudanese before Australians #AussiesBeforeRefugees #Bendigo #BendigoBank #SENDTHEMBACK #RefugessAreNotWelcomeHere ,0,2,Normal,Hate,False
31,I want their puma shoes but a bitch is broke and cant afford them ,0,2,Normal,Hate,False
32,"She's a hoe, she's ugly, she's a bitch, she's this, she's that .. but you dated her ? please, take a seat. ",0,2,Normal,Hate,False
33,Yo whoever took my shoes last night is a broke back bitch lmao ,0,2,Normal,Hate,False
34,#StopTheInvasion! @user Use our Defense Budget NOW 2 Defend America! Don't wait on Mitch & Paul! #FridayFeeIing ,0,2,Normal,Hate,False
35,"Some will take the hint and leave. Others willl force you to exchange numbers/social media @ or you'll be a ""dirty foot hoe"" ""ugly bitch"" ",0,2,Normal,Hate,False
36,"I hate stupid ass questions   Like. ""My head hurt""    ""Why""    Bitch cause my head hurt hoe I have a headache ",0,2,Normal,Hate,False
37,Truth & Fact!#MAGA#DrainTheSwamp#TrueTheVote#DemandVoterID#NoAmnesty#NoDACA#BuildTheWall#No2Globalism#No2Socialism#SocialismFails#LiberalismIsAMentalDisorder ,0,2,Normal,Hate,False
38,@user We dont care of your meeting Jesus.Have the vote before the mid terms.Make those people vote so we know who is against it so we can vote for those who want it.#BuildThatWall or shut it down. Simple as that. ,0,2,Normal,Hate,False
39,@user Dude we call each other bitch/hoe 24/7 🙄😂❤ ,0,2,Normal,Hate,False
40,@user @user @user Are you referring to how they lollygag with gun control as their kids get slaughtered in schools? ,0,1,Normal,Offensive,False
41,"I know I can be a cunty ass bitch,  but for real I'm actually joking 73% of the time :) ",0,1,Normal,Offensive,False
