text,label,pred,gold_label_name,pred_label_name,error_pair,dataset,manual_error_type,notes
🤨 hm six million but yep they were disarmed ceppin the ones in the warsaw ghetto that survived because they defended themselves came to the usa started the jews for the 2 nd amendment club still exists to this day,2,1,hate,offensive,hate -> offensive,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
you know you poppin when they wanna feel and act like dey celibent my nigga yu a faggot you gay bitch my nigga you a dike my nigga you suck dick get popped nigga nokap,1,2,offensive,hate,offensive -> hate,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
yes white woman sold out but i d never put my cock in a moslem degenerate,0,2,normal,hate,normal -> hate,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
with any luck a random nigger shoots you in the back of the head,1,2,offensive,hate,offensive -> hate,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
why does bradford have so many pakis and brighton have so many queers brighton had first choice,1,0,offensive,normal,offensive -> normal,HateXplain,Hate target identification failure,"The text contains a clear group-directed slur or hateful target, but the model failed to recognise it and predicted a less severe label."
what is the goal you wish to achieve with the homosexual community is it to entrench them deeper in the programming they have received or free them from the chains of oppression they have been taught to willfully take upon themselves,2,1,hate,offensive,hate -> offensive,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
we need a ghetto ass siri bitch i said turn left 😭,0,1,normal,offensive,normal -> offensive,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
verizon owned by the fucking jews,2,1,hate,offensive,hate -> offensive,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
the muzzies already made us realize that 😜,1,2,offensive,hate,offensive -> hate,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
the difference between hetero and homo couples part i,0,1,normal,offensive,normal -> offensive,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
so you sitting her telling me it ok for a female to drug niggas but when a male do it we deserve to be stoned and thrown in a hole,0,1,normal,offensive,normal -> offensive,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
signs in warsaw ghetto warning the jews of typhus germans warning jews about a deadly disease,0,2,normal,hate,normal -> hate,HateXplain,Quoted/counter-speech/reclaimed usage,"The text contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
protesters bcome rioters min violence starts all should be arrested prosecuted of course these fucking cops are not going <number> do shit as usual per orders i understand states make own laws but police should be under federal control so politicians can not stymie <number> agenda,0,1,normal,offensive,normal -> offensive,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
ppl in this town strive to act ghetto bitch if u don ’ t go back to ur <number> million house on top of haven,0,1,normal,offensive,normal -> offensive,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
politics live two fat tories saying they dont know why over <number> people died on our street and that the care as much as labour about people they cut 3 8 billion the women said we are giving <number> million back they really are sick,0,1,normal,offensive,normal -> offensive,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
opinion when a girl is a hoe everyone assumes that girl is the one who hit up every single guy even if it always the guy who makes the first move sexism or no smh 😒,0,1,normal,offensive,normal -> offensive,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
not me you dumb bitch the faces do not even match the nose eyes lips are not even close if you are going to go down that route at least try to get some one that closer to what i really look like,2,1,hate,offensive,hate -> offensive,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
la tradución es una mierda kike soy español y ponen vuestra base de ingles de mierda de izquierda comunista,0,2,normal,hate,normal -> hate,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
just like a white boy would say boy u full of crap,0,1,normal,offensive,normal -> offensive,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
i think we should start calling racist white people niggers random,0,2,normal,hate,normal -> hate,HateXplain,Quoted/counter-speech/reclaimed usage,"The text contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
i never saw a chink pussy and do not plan on breaking that record 🖕 🙄 🖕,1,2,offensive,hate,offensive -> hate,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
i hate you,1,0,offensive,normal,offensive -> normal,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
i hate you,1,0,offensive,normal,offensive -> normal,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
