text,label
@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you… ,0
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎 ,1
@user @user real talk do you have eyes or were they gouged out by a rapefugee? ,1
your girlfriend lookin at me like a groupie in this bitch! ,1
Hysterical woman like @user ,0
Me flirting- So tell me about your father... ,0
"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great... ",0
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch ,1
When cuffin season is finally over ,0
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?  ",1
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes. ",1
Only that in you which is me can hear what I'm saying. ~Baba Ram Dass ,0
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome ,1
More migrants take sea route to #Spain than Italy this year: UN ,0
"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure. ",0
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen ",1
RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this. ,0
"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky. ",0
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes ,1
@user @user keep calling her a bitch and a whore dude real grown up. ,1
"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user ",1
"@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops ",1
"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe ",1
An Honest Article About Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle... ,0
@user @user @user @user please spread the word  -&gt;&gt; using frequent flyer miles to reunite immigrant families! ,0
"knuckle up cause I'll fight for mines Yo pussy petty, U wasting time .. U seasonal, part time U get fucked up fuckin w/ mine U lil bitch ",1
"Yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi… ",0
@user Not all men are animals. You Libs want muslims to come over still? Better pick a side. ,0
"Federal judge to #Trump: ""imminent danger"" of ""irreparable injury to #refugees, visa-holders"", etc. @user ",0
This bitch whom I won't name on Facebook is such a shameless woman ruining a relationship. #getalife #stopspreadinglies #hoe ,1
@user @user Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard ,1
Why we need to protect refugees from the ‘˜big ideas’ designed to save them @user @user @user @user @user @user @user ,0
Kevin Rosero of the Latino Immigrant Experience Oral History Project #NJHRIC #NewarkPublicLibrary needs help identifying Newark Latino immigrant residents to interview and capture their stories and experiences. MORE INFO: ,0
@user Are you pussy grabbing tonight?? ,0
"Some people really dont understand why I get so upset at injustices happening in this country. Trust me, it's not that I like getting my panties in a wad over dumb things. It's the fact that people like me (minority, brown, immigrant, etc) r suffering and it affects me directly ",0
I've been called a son of a whore and a cunt today already. It's not even 1 yet ,0
"Pope Francis: Immigrants Provide ‘˜Enrichment’ to Society, Not ‘˜Threats’ ",0
"What were they planning to do with the immigrant children they kidnapped? Slavery, sex traffic, organ harvesting? ",0
masturbate intensive for that whore slut ,0
The Truth about #Immigration ,0
@user @user Must Make Illegal #Immigration and Over Stays a Felon Pass Mandatory E-Verify for #Jobs and Welfare  #Trump #MAGA #RedNationRising ,1
"@user immigration on mass in Europe Kills our Culture our languages and over stretches our own resources such as Hospitals ,Schools ,now Italy ,Greece , etc , Your right send them back home but please do not separate families Islamic countries ",1
Lebanese Christian victim of a quarrel between Syrian refugees carrying knives &amp; cleavers in Lebanon ,0
"CoreCivic found its best interest is to grow US detention capacity, for women and children, by over 450%. Expanding the number of mother-child beds from 3,500 up to 20,000. This signals the largest increase in immigrant detention since WW2 #ResistICENashville photo: Julie Henry ",0
I wonder is this is where Caitlyn gets his car services 🌚 ,0
"@user Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉 ",1
Bishop appeals to church groups to take action as migrants now account for 11 percent of reported cases ,0
Because some women are stupid ,1
@user BITCH TEXT ME ,1
"because they had a cross on !! The lovely NHS  cannot get 100 Indian Doctors over from India because of Immigration rules ,good  do we want to hire from a land of Rapists and ignorant beliefs sadly we cannot get enough training places here, why dont we use nurse Practitioners# ",1
"@user RT @user Don't betray Your #Voters on #Immigration. #Americans, #WeThePeople, & the #USA reject #DACA, #Amnesty, the #DreamAct, & all #illegal immigration. Do Not Break Our Constitutional Laws. Deport all illegals & #DACA immigr ",1
@user Elizabeth Warren's radical agenda to abolish ICE and create open borders must be stopped. Geoff Diehl is the only candidate with a proven record of fighting illegal immigration. VOTE FOR @user FOR SENATE in MA ,1
What an absolute cock womble this cunt is. Does she also alude to the fact she recieved FREE university education aswel. ,1
No matter what color a girl is she still a ho 😂😂 ,1
"@user I am not forcing anyone. I am just putting out my view. People believe it or not is their prerogative.Even if a single person agree with me, it is ok with me. Thanks, ",0
#FactCheck 👍 #BoycottUnitedArlines #AidingAndAbetting #Felons #WeThePeople are FED UP #EnoughIsEnough #ICE #DHS #DOJ #WakeUpAmerica #StopTheInvasion ,0
"#NRC Assam Govt must initiate immediate action 2 cancel Voting id cards &amp; Aadhaar cards of the identified illegal migrants Let ""commited"" political dogs bark any length &amp; as loud as they can Nation must remain firm on its security concerns ",0
"@user Dan, WAY too tough to choose between all the lying, deceitful corrupt losers representing Dems (& some GOP). The list is long & disgusting. Embarrassing that we pay these lying losers large salaries to corrupt our democracy.#MAGA #KAG #POTUS #Tr ",1
"Russia, Turkey, Jordan are in talks on return of Syrian refugees ‘“ Lavrov ",0
"@user @user No.....really? A refugee? They are here to enrich our cultures, right? I bet ya he's older than 17 too....#sendthemback it's not late to save Europe ",1
NEVERRRRRRRRRRR ,0
"Thank you, @user for taking a stand. It's up to all of us to fight misinformation and anti-immigrant hate. #SourcesMatter ",0
And now another flood of immigrants coming our way.#BuildThatWall ,1
