selected_id,text,true_label,pred_label,true_label_name,pred_label_name,correct
1,<user> <user> where as her bud adolf would have let his nazi nationalist make her into a lampshade,1,0,Offensive,Normal,False
2,come on men you know you want to find and post hot women in bikinis too or in this case a transparent bikini with cameltoe,1,0,Offensive,Normal,False
3,looks like twitter keeping my shit fuck jack retweet to help a nigga out,1,0,Offensive,Normal,False
4,<user> <user> how many illegal aliens are gonna benefit we have 9 0 0 k in the state mr governor,1,0,Offensive,Normal,False
5,<user> wow islam side by side w jews only <number> case in the entire world so what happened to all the jews in kolkata,1,0,Offensive,Normal,False
6,seen on fb can not take credit most illegal aliens enter the us by air maybe we need a roof,1,0,Offensive,Normal,False
7,<user> i fucking hated you when we first met,1,0,Offensive,Normal,False
8,<user> it chinaman hat island over my head 🤠,1,0,Offensive,Normal,False
9,the muslim woman who refused the garb,1,0,Offensive,Normal,False
10,<user> yeah and today <number> illegal aliens were released in texas,1,0,Offensive,Normal,False
11,wishing for a white wignat christmas 🎄,1,0,Offensive,Normal,False
12,i cannot stand straight white women who think women ’ only purpose is to birth children,1,0,Offensive,Normal,False
13,<user> od leave them white devils alone,1,0,Offensive,Normal,False
14,how many islam political ideology followers are also animal activists,0,1,Normal,Offensive,False
15,this happens a lot in the makeup beauty community gay men think that the women who have a problem with drag queens or with gay men using misogynistic slurs etc all must be str8 girls who do not know how the lgbt community works guess what dykes hate you too,0,1,Normal,Offensive,False
16,<user> damn eu should have stuck prestinni ’ crying ass on the bench and let simp get retarded on main stage,0,1,Normal,Offensive,False
17,playing the most niggery of music on the way to work to compensate for working for the white man,0,1,Normal,Offensive,False
18,every black men women and children in america should want this women dead lifetime membership in the kk mohammedan obama and hillary treated blacks worse than black muslim slavers ever have done for <number> yrs,0,1,Normal,Offensive,False
19,criticize boomers and some senile retard will reply in all caps,0,1,Normal,Offensive,False
20,<user> homo and sus,0,1,Normal,Offensive,False
21,<user> you do realize nazi were nationalist socialists you know the system that bernie and all those hippies are implementing,0,1,Normal,Offensive,False
22,<user> <user> <user> and retarded,0,1,Normal,Offensive,False
23,trump will collapse the economy <number> added to wall street in one year racist lowest up for blacks in history unfit mentally smoked the exam xenophobe married <number> immigrants i clearly see why liberals are pissed,0,1,Normal,Offensive,False
24,kanye just be minding his own business an you all niggers go out of you all way to slander an hate,0,1,Normal,Offensive,False
25,i wish liberals cared about homeless veterans as much as they do illegal immigrants and refugees maga trump gabfam,0,1,Normal,Offensive,False
26,fuck that nasty bitch with a moslem dick,2,1,Hate,Offensive,False
27,does this mean they arrested the mayor of london have cordoned off every muzrat ghetto in the uk every mosque closed down if not its business as usual,2,1,Hate,Offensive,False
28,turkish kids in german schools have been laughing about the forced holocaust indoctrination for decades,2,1,Hate,Offensive,False
29,actually i prefer my jews going up the chimney,2,1,Hate,Offensive,False
30,my colleagues n my chief use the french equivalent of fag on a big basis every day and call gay man that word like it is the wprd gay or homosexual and i am restraining myself from calling them all faggy fag faggots,2,1,Hate,Offensive,False
31,i mean when you believe one faggots obvious larp why not believe them all,2,1,Hate,Offensive,False
32,we need to start punching arabs for saying the n word,2,1,Hate,Offensive,False
33,i am not how many people are away of george webb it states at day <date> they are amazing it watching real crime story of clinton and coons unfold in front of you eyes i just found him george webb cinton haiti clinton cartel pedo pay to pay trafficing,2,1,Hate,Offensive,False
34,how about communist front group antifa it very easy to demonstrate to even the most historically retarded individual that communists have always battled fascists for control tying the two names together also allow you to lay the burden of <number> million deaths at their feet,2,1,Hate,Offensive,False
35,that happened when you allow a rat yid in your country,2,1,Hate,Offensive,False
36,honestly the only woman i would not ever date is a solid black woman hispanics are aye okay asians are qu3 <number> i do not have yellow fever anymore but white girls can be crazy ass folk indian and arab women maybe but they gotta be shaved no negotiating that shit,2,1,Hate,Offensive,False
37,well well well if my favorite mud shark of all time is not getting hung up by the sand nigger lovers god save this world really,1,2,Offensive,Hate,False
38,pedophilia promoted by mohammed piss be upon him perfect rolemodel for every moslem,1,2,Offensive,Hate,False
39,im just going to assume that guy fucked a nigger in the ass and <user> was the result if newsweek does not need to verify stories neither do i,1,2,Offensive,Hate,False
40,hindu army ’ disrespecting islam now 🙄 acting like your countries don ’ t mass murder them on a bi yearly basis stfu,1,2,Offensive,Hate,False
41,come on cunt surely you can dig deep into that insult gab handbook and call me a kike again old man hahaahah,1,2,Offensive,Hate,False
42,if every muzzie in america voted for one person it would not even gain them a percentage point you need to expand your list dude,1,2,Offensive,Hate,False
43,drugs cash check it fuck with us gucci this nigger,2,0,Hate,Normal,False
44,the morons in washington really need to start prioritizing american citizens above other people fix the va and help our homeless men women and children before we take in more people period we need our safety first not last,2,0,Hate,Normal,False
45,asian men are weak and fragile and i hate you,2,0,Hate,Normal,False
46,if britain closed its borders2day moslems would still become a majority due2their high birthrates the only solution2the moslem problem is repatriation2their ancestral homelands at 1 st it can be tried on a voluntary basis with financial compensation4example but eventually they all must b told2 go,2,0,Hate,Normal,False
47,apparently there is a cholera outbreak in yemen couple of less arabs,2,0,Hate,Normal,False
48,now that them white people out my life my post finna get real real niggerish,0,2,Normal,Hate,False
49,<user> when roy rosales killed he called himself a dumb nigger which in court you have to say roy rosales dumb nigger killed,0,2,Normal,Hate,False
50,shut this billionaire bugatti brick this nigger pole,0,2,Normal,Hate,False
