comment,label,difficulty,workload,teaching_quality,recommendation
"COMP1511 is a fundamental introductory compulsory course for computer science majors at UNSW, primarily teaching C programming, basic algorithmic concepts, and simple program design methodologies. The overall pace of the course is relatively intense (9 weeks + flex), but the content is arranged progressively from simple to more advanced (from the most basic C syntax to slightly more complex data structures like structs and linked lists). It is suitable for students with little programming background to build a foundation, but those with absolutely no prior experience may feel some pressure in the mid-to-late stages of the semester. The strength of this course lies in its strong practical focus; labs, assignments, and autotests help students quickly develop the mindset of ""writing code — debugging — improving."" Although the content is introductory, it places considerable emphasis on programming standards, logical expression, and problem decomposition, so the improvement after completing the course is quite noticeable. It also cultivates the habit of writing comments, laying the groundwork for subsequent courses, group collaboration, and code maintenance. The difficulty lies in the fact that concepts may seem few early on, but once students move into arrays, functions, pointers, structs, linked lists, and more complex program design, many begin to struggle. If students only attend lectures without hands-on practice, it's easy to fall behind later. The importance of regular lab exercises becomes evident here. Meanwhile, assignments provide students with an opportunity to complete a small project over a longer period (2–3 weeks), accounting for about 30%–40% of the course grade. The assignment guide breaks the entire project into several smaller parts, guiding students step-by-step to complete the main portion (usually around 80%; the remaining parts may involve content from later courses and are intended for students with some programming ability or those aiming for grades of 75+ or 85+). Students can selectively complete assignment tasks based on their own capabilities and the grade distribution. Finally, the exam typically accounts for 40%–50% of the course grade and consists of around 10 programming questions covering almost all data structures and functions learned throughout the semester. Generally, students are required to complete at least 40% of the exam content (a hurdle, which may include specific questions). One question might test a single data structure, while subsequent questions may involve the application of two or more data structures within a single problem. The last one or two questions may involve content from later courses and are intended for students with some programming ability or those aiming for grades of 75+ or 85+. Overall, COMP1511 is a foundational and highly valuable course for training. It not only teaches C syntax but, more importantly, helps establish the fundamental mindset of computer science. It is crucial for subsequent studies in data structures, algorithms, and systems-related courses.",0,2,3,4,4
"COMP4920 is a course focused on professional ethics and technology ethics, with an emphasis not on programming implementation but on discussing ethical judgment, sense of responsibility in the computer profession, and the social impact of technology applications. This course covers ethical theories, moral judgment, and the application of these frameworks to analyze real-world computer science cases. The course is characterized by its strong emphasis on critical thinking, as well as high requirements for writing and argumentation. It is particularly suitable for students who have already taken multiple technical courses and wish to move beyond ""how to build systems"" to consider ""why we build them this way and whether this approach is responsible."" Its value lies not in improving coding skills but in helping students develop a more comprehensive professional perspective.

Overall, COMP4920 is more like a course that helps computer science students fill in the gaps in professional ethics and critical thinking. For students aiming to enter the software, AI, or broader technology industries, it encourages a shift from focusing solely on technical implementation to considering the responsibilities and impacts behind technological decisions.

Now, moving from the technical summary to personal feelings: This course primarily covers computer ethics and morality. It doesn’t require any coding, but students must write two essays and deliver a final presentation. Students need to choose topics and read academic materials provided by the instructor or find relevant sources online to support their arguments. The process is extremely painful and particularly torturous for students with little interest in this area. If the tutor has a non-computer science background (e.g., in philosophy), it can be even more torturous. Non-computer science tutors may provide ""less accurate"" guidance or assistance when topics or questions fall outside their area of expertise (such as specialized computer science knowledge). They might also scrutinize your essays from their own professional perspective and way of thinking, which can be extremely challenging for students who haven’t systematically developed their logical and critical thinking skills. Additionally, the grading is very stingy and subjective. If the tutor is competent, your grade won’t be too bad, but if the tutor is incompetent, you’re basically doomed.",0,3,4,3,1
test,0,5,5,5,5
Fucking awesome,0,5,5,5,5
Signed up for it*2,0,5,5,5,5
"DSP Digital Signal Processing. This course invites Dolby employees to give career planning lectures. It is very helpful for undergraduates to understand industry information. The course is divided into: lab, project 30%, midterm 20%, final 50%. The lab teaches you how to complete the project; the project involves writing a real-time frequency divider/gain controller similar to Qianqian Jingting using MATLAB. With MATLAB experience, you can finish all content in two days without much difficulty. The midterm is moderately difficult; I didn't prepare and scored 66. The exam calculations are not complex, and the numbers are conveniently arranged. This course is highly practical and extremely beneficial for one's career. Highly recommended.",0,3,1,3,5
"Fundamentals of Accounting: Midterm 25%, group presentation (15 minutes) 15%, class attendance and participation 10%, final exam 50%. This introductory accounting course is extremely simple; you can skip lectures and self-study, just treat the weekly tutorials as review. Even if you get stuck with unreliable teammates for the group presentation, it won’t have much impact. In my group of five, only three showed up, and I also had kidney stones that hurt for several weeks, causing me to take several sick leaves—yet I only lost less than 10 points for participation. For the final, I just reviewed three sets of practice exams and scored full marks. This became the only course in my undergraduate studies where I got above 90. Highly recommend this course—generous grading and saves time.",0,1,3,3,5
"Starting off with high intensity right away, 6.",0,5,5,5,1
rnm drop out,1,5,5,5,1
"It's okay, acceptable. I learned the practice of developing database applications and the theory behind relational database systems. It also provides a brief overview of the technologies used to implement database management systems, as well as the past, present, and future of database systems. Big data resources are crucial for the operation of almost all significant modern computer applications. Therefore, understanding how to manage big data resources is clearly very important for the IT industry.",0,3,3,5,2
