text,label,pred,gold_label_name,pred_label_name,error_pair,dataset,manual_error_type,notes
"...what about death _metal_? I want more death METAL... Tell me, you hateful Keebler Elf, WHERE CAN I HAVE MORE DEATH METAL???? ",1,0,offensive,normal,offensive -> normal,TweetEval,Missing or ambiguous context,"The tweet is short and context-dependent, so the intended target and meaning are unclear without surrounding context."
Am I a dickhead ???? Probably yes ,1,0,offensive,normal,offensive -> normal,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
$uicideboy$ ON HALLOWEEN its aboout to get sooooo FUCKING spooky ,1,0,offensive,normal,offensive -> normal,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
". a grown ass woman, probably 10 years older than me is currently spreading rumors rather than talking to me about it, nice work you got there satan ❤️ ",1,2,offensive,hate,offensive -> hate,TweetEval,Offensive-hate boundary ambiguity,"The text is clearly abusive, but the target group and hateful intent are not explicit, making the boundary between offensive and hate ambiguous."
#LockHimUpNow #MAGA #QAnon @user best President ever ,0,1,normal,offensive,normal -> offensive,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
"#WednesdayWisdom Antifa calls the right fascist when, in all reality, they and the left are following the same scenario as the Third Reich: indoctrination of our youth, trying to control minorities and a total lack of understanding or knowledge of history.  #WalkAway ",0,1,normal,offensive,normal -> offensive,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
Been listening to LP th whole shift. Life is a bitch. But we must continue the fight. RIP ,0,1,normal,offensive,normal -> offensive,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
@user Also the whole bitch thing you did to my bio is kinda what I was going to do for my name link ,0,1,normal,offensive,normal -> offensive,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
@user @user Bitch you stole this from Tron ,0,1,normal,offensive,normal -> offensive,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
An American Tail really is one of the most underrated animations ever ever ever. Fuck I cried in this scene ,0,1,normal,offensive,normal -> offensive,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
@user bitch I'm sad as hell shit ruined my whole day now I gotta go sit by a lake and skip rocks and contemplate life ,0,1,normal,offensive,normal -> offensive,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
"I am a Targeted Individual @user Follows you I'm a Child of God, have been #gangstalked for 11 years. Have you been #gangstalked? #buildthewall #setlizfree #imawake #nodaca #trumpsupporter #deplorable ",0,2,normal,hate,normal -> hate,TweetEval,Missing or ambiguous context,"The tweet is short and context-dependent, so the intended target and meaning are unclear without surrounding context."
@user @user When we say #BuildThatWall at this is how @user respond!#RETWEET ,0,2,normal,hate,normal -> hate,TweetEval,Missing or ambiguous context,"The tweet is short and context-dependent, so the intended target and meaning are unclear without surrounding context."
Westminster terror attack suspect named as 'Sudanese Rapefugee who drove around London looking for targets' before driving car into cyclists ,0,2,normal,hate,normal -> hate,TweetEval,Missing or ambiguous context,"The tweet is short and context-dependent, so the intended target and meaning are unclear without surrounding context."
"all these niggas that be friends stay in my DM.. bitch i am not a hoe, and no you will never fuck. y'all so damn annoying !!!!!! ",0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
@user @user Levi's use to be an American company. It is not nothing but a global socialist company that uses slave labor to make products. Then ship them back to America and charge outrageous inflated prices. I don't buy and want start now. #MAGA #DrainingTheSwamp #BuildThatWall ,0,2,normal,hate,normal -> hate,TweetEval,Offensive-hate boundary ambiguity,"The text is clearly abusive, but the target group and hateful intent are not explicit, making the boundary between offensive and hate ambiguous."
@user hey white trash go fuck your self dumb shit hoe bitch disgusting hoe ,0,2,normal,hate,normal -> hate,TweetEval,Offensive-hate boundary ambiguity,"The text is clearly abusive, but the target group and hateful intent are not explicit, making the boundary between offensive and hate ambiguous."
females are even worse 💀 fuccin whores will clique up when they only got one thing in common = mutual hate for ONE bitch. ,0,2,normal,hate,normal -> hate,TweetEval,Offensive-hate boundary ambiguity,"The text is clearly abusive, but the target group and hateful intent are not explicit, making the boundary between offensive and hate ambiguous."
Amen. #MAGA #WalkAway #LeaveDNC #VoteRed2018 #Trump2020 #TrumpPence2020 #WakeUp #NoJihad #NoDACA ,0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
"@user Comey's 7/5/16 phony statement absolved Hillary because she didn't ""knowingly"" break laws.Booker ADMITS to violating the rules. He needs to be prosecuted and/or admonished.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue ",0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
"@user Saw you on Watters last night - SO funny!! You had a great time, & so did those watching!If you like Dr. Gina, don't miss tonight's WattersWorld!!#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue #AllLivesMatter ",0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
"@user @user This will be great. Hope @user puts someone in charge who makes sure All $$$ goes toward construction costs. And he/she better get it going after day, Every million donated. #BuildThatWall ",0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
@user @user @user leave my bitch alone people make mistakes so stfu a go somewhere you big shoe lookin ass mf ,0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
"Hate seeing articles about ""what men should or should not wear/do..."" To whoever comes up with this sh!t: BITCH, mind your own business... ",0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
"If only American citizens are counted, congressional districts and electoral college votes would shift power away from the affluent, metropolitan coastal cities. #ElectionFraud #IllegalAliens #MAGA ",0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
@user @user @user @user @user That was not bought in store! Black market merchandise. Yet Libs want to crack down on legal owners? Typical delusion. #Rifle #NRA #BuildThatWall ,0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
